release_date,release_date_int,release_date_text,year,month,day
2/26/2016,20160226,2016#26#02,2016,2,26
10/17/1979,19791017,1979#17#10,1979,10,17
10/5/2007,20071005,2007#05#10,2007,10,5
8/23/2013,20130823,2013#23#08,2013,8,23
2/13/2004,20040213,2004#13#02,2004,2,13
10/2/2015,20151002,2015#02#10,2015,10,2
11/9/1984,19841109,1984#09#11,1984,11,9
11/27/2009,20091127,2009#27#11,2009,11,27
10/23/1960,19601023,1960#23#10,1960,10,23
1/26/2012,20120126,2012#26#01,2012,1,26
4/20/2017,20170420,2017#20#04,2017,4,20
6/13/1986,19860613,1986#13#06,1986,6,13
10/31/2002,20021031,2002#31#10,2002,10,31
4/11/2003,20030411,2003#11#04,2003,4,11
1/29/2010,20100129,2010#29#01,2010,1,29
4/21/2001,20010421,2001#21#04,2001,4,21
9/14/2016,20160914,2016#14#09,2016,9,14
12/19/1990,19901219,1990#19#12,1990,12,19
8/24/1990,19900824,1990#24#08,1990,8,24
2/1/2017,20170201,2017#01#02,2017,2,1
6/29/2012,20120629,2012#29#06,2012,6,29
11/9/1948,19481109,1948#09#11,1948,11,9
7/25/1986,19860725,1986#25#07,1986,7,25
10/17/2014,20141017,2014#17#10,2014,10,17
10/1/2007,20071001,2007#01#10,2007,10,1
1/19/1996,19960119,1996#19#01,1996,1,19
11/25/1987,19871125,1987#25#11,1987,11,25
12/23/2016,20161223,2016#23#12,2016,12,23
11/12/2015,20151112,2015#12#11,2015,11,12
12/23/2016,20161223,2016#23#12,2016,12,23
10/1/1958,19581001,1958#01#10,1958,10,1
12/25/1997,19971225,1997#25#12,1997,12,25
5/12/1999,19990512,1999#12#05,1999,5,12
12/4/2003,20031204,2003#04#12,2003,12,4
9/7/2008,20080907,2008#07#09,2008,9,7
4/5/2013,20130405,2013#05#04,2013,4,5
3/31/1995,19950331,1995#31#03,1995,3,31
1/7/2013,20130107,2013#07#01,2013,1,7
11/12/1982,19821112,1982#12#11,1982,11,12
7/26/2006,20060726,2006#26#07,2006,7,26
11/16/2006,20061116,2006#16#11,2006,11,16
2/21/2013,20130221,2013#21#02,2013,2,21
5/16/1986,19860516,1986#16#05,1986,5,16
9/11/2015,20150911,2015#11#09,2015,9,11
5/11/2001,20010511,2001#11#05,2001,5,11
3/30/1999,19990330,1999#30#03,1999,3,30
12/21/1977,19771221,1977#21#12,1977,12,21
2/8/2015,20150208,2015#08#02,2015,2,8
12/24/2014,20141224,2014#24#12,2014,12,24
4/29/2011,20110429,2011#29#04,2011,4,29
2/8/2007,20070208,2007#08#02,2007,2,8
1/1/1997,19970101,1997#01#01,1997,1,1
8/14/1987,19870814,1987#14#08,1987,8,14
6/1/2016,20160601,2016#01#06,2016,6,1
2/9/2004,20040209,2004#09#02,2004,2,9
1/23/2004,20040123,2004#23#01,2004,1,23
4/27/1961,19610427,1961#27#04,1961,4,27
10/17/2008,20081017,2008#17#10,2008,10,17
10/10/2010,20101010,2010#10#10,2010,10,10
6/23/1993,19930623,1993#23#06,1993,6,23
8/13/1982,19820813,1982#13#08,1982,8,13
12/17/1982,19821217,1982#17#12,1982,12,17
9/24/1999,19990924,1999#24#09,1999,9,24
11/5/2004,20041105,2004#05#11,2004,11,5
9/30/2016,20160930,2016#30#09,2016,9,30
6/18/1993,19930618,1993#18#06,1993,6,18
6/1/2001,20010601,2001#01#06,2001,6,1
12/26/1959,19591226,1959#26#12,1959,12,26
3/5/1993,19930305,1993#05#03,1993,3,5
4/15/2016,20160415,2016#15#04,2016,4,15
11/4/2016,20161104,2016#04#11,2016,11,4
8/28/1998,19980828,1998#28#08,1998,8,28
10/22/2004,20041022,2004#22#10,2004,10,22
10/29/1970,19701029,1970#29#10,1970,10,29
7/31/1991,19910731,1991#31#07,1991,7,31
6/29/2005,20050629,2005#29#06,2005,6,29
2/7/1968,19680207,1968#07#02,1968,2,7
4/5/1984,19840405,1984#05#04,1984,4,5
8/7/1981,19810807,1981#07#08,1981,8,7
2/14/2008,20080214,2008#14#02,2008,2,14
2/5/1981,19810205,1981#05#02,1981,2,5
9/6/2000,20000906,2000#06#09,2000,9,6
9/17/1999,19990917,1999#17#09,1999,9,17
10/1/2014,20141001,2014#01#10,2014,10,1
6/28/1988,19880628,1988#28#06,1988,6,28
5/8/1998,19980508,1998#08#05,1998,5,8
10/9/1952,19521009,1952#09#10,1952,10,9
6/3/2010,20100603,2010#03#06,2010,6,3
11/23/2005,20051123,2005#23#11,2005,11,23
10/10/1968,19681010,1968#10#10,1968,10,10
5/15/1944,19440515,1944#15#05,1944,5,15
9/4/2005,20050904,2005#04#09,2005,9,4
12/13/1995,19951213,1995#13#12,1995,12,13
4/14/1983,19830414,1983#14#04,1983,4,14
9/3/1998,19980903,1998#03#09,1998,9,3
11/6/1997,19971106,1997#06#11,1997,11,6
9/20/2007,20070920,2007#20#09,2007,9,20
10/1/1994,19941001,1994#01#10,1994,10,1
2/18/1994,19940218,1994#18#02,1994,2,18
8/7/1985,19850807,1985#07#08,1985,8,7
5/5/2009,20090505,2009#05#05,2009,5,5
3/10/2012,20120310,2012#10#03,2012,3,10
3/15/2006,20060315,2006#15#03,2006,3,15
9/4/2012,20120904,2012#04#09,2012,9,4
9/13/2009,20090913,2009#13#09,2009,9,13
5/24/2012,20120524,2012#24#05,2012,5,24
9/23/1994,19940923,1994#23#09,1994,9,23
3/14/2010,20100314,2010#14#03,2010,3,14
12/11/2013,20131211,2013#11#12,2013,12,11
9/7/2013,20130907,2013#07#09,2013,9,7
2/12/2012,20120212,2012#12#02,2012,2,12
2/10/1995,19950210,1995#10#02,1995,2,10
7/3/1962,19620703,1962#03#07,1962,7,3
9/24/2010,20100924,2010#24#09,2010,9,24
3/13/2014,20140313,2014#13#03,2014,3,13
8/10/1984,19840810,1984#10#08,1984,8,10
7/28/2005,20050728,2005#28#07,2005,7,28
7/3/2002,20020703,2002#03#07,2002,7,3
7/17/2013,20130717,2013#17#07,2013,7,17
9/11/1998,19980911,1998#11#09,1998,9,11
2/3/2011,20110203,2011#03#02,2011,2,3
8/3/1955,19550803,1955#03#08,1955,8,3
5/26/2004,20040526,2004#26#05,2004,5,26
5/30/1986,19860530,1986#30#05,1986,5,30
9/29/1993,19930929,1993#29#09,1993,9,29
1/15/2009,20090115,2009#15#01,2009,1,15
3/16/2017,20170316,2017#16#03,2017,3,16
1/7/1955,19550107,1955#07#01,1955,1,7
8/17/2016,20160817,2016#17#08,2016,8,17
9/14/1990,19900914,1990#14#09,1990,9,14
1/30/2013,20130130,2013#30#01,2013,1,30
5/17/2005,20050517,2005#17#05,2005,5,17
12/23/1960,19601223,1960#23#12,1960,12,23
9/5/2003,20030905,2003#05#09,2003,9,5
9/26/2002,20020926,2002#26#09,2002,9,26
10/9/2014,20141009,2014#09#10,2014,10,9
4/29/1983,19830429,1983#29#04,1983,4,29
8/15/2003,20030815,2003#15#08,2003,8,15
10/1/1992,19921001,1992#01#10,1992,10,1
9/14/2013,20130914,2013#14#09,2013,9,14
9/11/2015,20150911,2015#11#09,2015,9,11
1/14/2016,20160114,2016#14#01,2016,1,14
12/19/1986,19861219,1986#19#12,1986,12,19
9/10/2015,20150910,2015#10#09,2015,9,10
7/9/1999,19990709,1999#09#07,1999,7,9
10/22/1999,19991022,1999#22#10,1999,10,22
12/11/2006,20061211,2006#11#12,2006,12,11
8/1/1954,19540801,1954#01#08,1954,8,1
5/18/1978,19780518,1978#18#05,1978,5,18
2/7/2014,20140207,2014#07#02,2014,2,7
8/4/2014,20140804,2014#04#08,2014,8,4
6/19/1960,19600619,1960#19#06,1960,6,19
6/6/2011,20110606,2011#06#06,2011,6,6
12/26/1984,19841226,1984#26#12,1984,12,26
2/17/2006,20060217,2006#17#02,2006,2,17
8/12/2005,20050812,2005#12#08,2005,8,12
11/7/1979,19791107,1979#07#11,1979,11,7
5/20/2010,20100520,2010#20#05,2010,5,20
3/12/1993,19930312,1993#12#03,1993,3,12
4/15/1992,19920415,1992#15#04,1992,4,15
4/10/1992,19920410,1992#10#04,1992,4,10
9/9/2014,20140909,2014#09#09,2014,9,9
8/2/1986,19860802,1986#02#08,1986,8,2
1/17/2003,20030117,2003#17#01,2003,1,17
11/18/1988,19881118,1988#18#11,1988,11,18
9/10/1993,19930910,1993#10#09,1993,9,10
3/15/2009,20090315,2009#15#03,2009,3,15
3/11/2015,20150311,2015#11#03,2015,3,11
3/8/2012,20120308,2012#08#03,2012,3,8
6/1/2007,20070601,2007#01#06,2007,6,1
6/19/1980,19800619,1980#19#06,1980,6,19
3/19/2014,20140319,2014#19#03,2014,3,19
5/15/1991,19910515,1991#15#05,1991,5,15
12/11/1967,19671211,1967#11#12,1967,12,11
5/31/1994,19940531,1994#31#05,1994,5,31
3/29/2002,20020329,2002#29#03,2002,3,29
2/11/2016,20160211,2016#11#02,2016,2,11
7/16/1992,19920716,1992#16#07,1992,7,16
11/8/1951,19511108,1951#08#11,1951,11,8
4/22/1988,19880422,1988#22#04,1988,4,22
9/15/2016,20160915,2016#15#09,2016,9,15
4/1/2005,20050401,2005#01#04,2005,4,1
8/17/1989,19890817,1989#17#08,1989,8,17
11/15/1991,19911115,1991#15#11,1991,11,15
5/7/2010,20100507,2010#07#05,2010,5,7
4/2/2010,20100402,2010#02#04,2010,4,2
12/7/1982,19821207,1982#07#12,1982,12,7
5/22/2007,20070522,2007#22#05,2007,5,22
2/22/2007,20070222,2007#22#02,2007,2,22
8/26/2015,20150826,2015#26#08,2015,8,26
11/9/2012,20121109,2012#09#11,2012,11,9
4/9/1999,19990409,1999#09#04,1999,4,9
4/6/2005,20050406,2005#06#04,2005,4,6
1/24/2008,20080124,2008#24#01,2008,1,24
10/21/1998,19981021,1998#21#10,1998,10,21
7/5/1980,19800705,1980#05#07,1980,7,5
4/21/1999,19990421,1999#21#04,1999,4,21
2/13/1981,19810213,1981#13#02,1981,2,13
6/24/1993,19930624,1993#24#06,1993,6,24
11/26/2008,20081126,2008#26#11,2008,11,26
9/3/2015,20150903,2015#03#09,2015,9,3
8/31/2007,20070831,2007#31#08,2007,8,31
9/5/2005,20050905,2005#05#09,2005,9,5
5/2/2014,20140502,2014#02#05,2014,5,2
3/15/2006,20060315,2006#15#03,2006,3,15
6/20/2013,20130620,2013#20#06,2013,6,20
3/3/1989,19890303,1989#03#03,1989,3,3
12/3/2015,20151203,2015#03#12,2015,12,3
2/2/2012,20120202,2012#02#02,2012,2,2
8/17/2007,20070817,2007#17#08,2007,8,17
2/7/2014,20140207,2014#07#02,2014,2,7
12/24/1988,19881224,1988#24#12,1988,12,24
6/24/2016,20160624,2016#24#06,2016,6,24
8/14/2009,20090814,2009#14#08,2009,8,14
4/4/1997,19970404,1997#04#04,1997,4,4
10/6/2000,20001006,2000#06#10,2000,10,6
3/12/2010,20100312,2010#12#03,2010,3,12
4/8/2011,20110408,2011#08#04,2011,4,8
11/18/2008,20081118,2008#18#11,2008,11,18
12/16/2016,20161216,2016#16#12,2016,12,16
11/4/2016,20161104,2016#04#11,2016,11,4
2/8/2008,20080208,2008#08#02,2008,2,8
1/20/2017,20170120,2017#20#01,2017,1,20
2/5/2016,20160205,2016#05#02,2016,2,5
11/20/1989,19891120,1989#20#11,1989,11,20
7/10/1992,19920710,1992#10#07,1992,7,10
9/10/1993,19930910,1993#10#09,1993,9,10
1/10/1993,19930110,1993#10#01,1993,1,10
7/10/2004,20040710,2004#10#07,2004,7,10
5/15/2005,20050515,2005#15#05,2005,5,15
1/25/2015,20150125,2015#25#01,2015,1,25
12/15/2011,20111215,2011#15#12,2011,12,15
1/15/1971,19710115,1971#15#01,1971,1,15
11/17/1989,19891117,1989#17#11,1989,11,17
12/15/2000,20001215,2000#15#12,2000,12,15
11/27/2002,20021127,2002#27#11,2002,11,27
12/17/2010,20101217,2010#17#12,2010,12,17
8/30/1991,19910830,1991#30#08,1991,8,30
8/4/2005,20050804,2005#04#08,2005,8,4
4/19/2015,20150419,2015#19#04,2015,4,19
3/31/2009,20090331,2009#31#03,2009,3,31
6/10/2010,20100610,2010#10#06,2010,6,10
7/30/2015,20150730,2015#30#07,2015,7,30
5/27/2016,20160527,2016#27#05,2016,5,27
8/1/2010,20100801,2010#01#08,2010,8,1
11/8/1973,19731108,1973#08#11,1973,11,8
2/7/2003,20030207,2003#07#02,2003,2,7
3/2/2012,20120302,2012#02#03,2012,3,2
1/18/2001,20010118,2001#18#01,2001,1,18
9/23/2011,20110923,2011#23#09,2011,9,23
7/5/2013,20130705,2013#05#07,2013,7,5
10/13/2016,20161013,2016#13#10,2016,10,13
5/13/1999,19990513,1999#13#05,1999,5,13
8/16/1985,19850816,1985#16#08,1985,8,16
9/18/1998,19980918,1998#18#09,1998,9,18
10/20/2006,20061020,2006#20#10,2006,10,20
8/9/1996,19960809,1996#09#08,1996,8,9
9/23/2005,20050923,2005#23#09,2005,9,23
2/16/1996,19960216,1996#16#02,1996,2,16
8/1/1972,19720801,1972#01#08,1972,8,1
12/17/2015,20151217,2015#17#12,2015,12,17
11/23/2001,20011123,2001#23#11,2001,11,23
9/2/2013,20130902,2013#02#09,2013,9,2
8/27/1936,19360827,1936#27#08,1936,8,27
10/15/2004,20041015,2004#15#10,2004,10,15
3/7/1962,19620307,1962#07#03,1962,3,7
4/2/2004,20040402,2004#02#04,2004,4,2
2/10/2004,20040210,2004#10#02,2004,2,10
1/8/2013,20130108,2013#08#01,2013,1,8
7/10/2015,20150710,2015#10#07,2015,7,10
8/1/2003,20030801,2003#01#08,2003,8,1
1/1/2009,20090101,2009#01#01,2009,1,1
12/16/1976,19761216,1976#16#12,1976,12,16
11/19/2008,20081119,2008#19#11,2008,11,19
6/10/2005,20050610,2005#10#06,2005,6,10
1/29/2003,20030129,2003#29#01,2003,1,29
6/30/2011,20110630,2011#30#06,2011,6,30
3/8/1990,19900308,1990#08#03,1990,3,8
5/14/2010,20100514,2010#14#05,2010,5,14
5/13/2015,20150513,2015#13#05,2015,5,13
8/31/2006,20060831,2006#31#08,2006,8,31
4/8/1988,19880408,1988#08#04,1988,4,8
2/19/2016,20160219,2016#19#02,2016,2,19
8/18/2006,20060818,2006#18#08,2006,8,18
4/20/2000,20000420,2000#20#04,2000,4,20
7/18/2013,20130718,2013#18#07,2013,7,18
2/12/1931,19310212,1931#12#02,1931,2,12
12/24/1990,19901224,1990#24#12,1990,12,24
12/22/2016,20161222,2016#22#12,2016,12,22
11/14/1997,19971114,1997#14#11,1997,11,14
6/21/2013,20130621,2013#21#06,2013,6,21
2/5/1936,19360205,1936#05#02,1936,2,5
9/1/2006,20060901,2006#01#09,2006,9,1
1/26/1996,19960126,1996#26#01,1996,1,26
11/4/2016,20161104,2016#04#11,2016,11,4
3/13/1986,19860313,1986#13#03,1986,3,13
12/30/2005,20051230,2005#30#12,2005,12,30
9/6/2008,20080906,2008#06#09,2008,9,6
10/17/2003,20031017,2003#17#10,2003,10,17
3/10/2002,20020310,2002#10#03,2002,3,10
10/21/2008,20081021,2008#21#10,2008,10,21
9/23/1988,19880923,1988#23#09,1988,9,23
11/21/2001,20011121,2001#21#11,2001,11,21
4/5/2013,20130405,2013#05#04,2013,4,5
5/13/2011,20110513,2011#13#05,2011,5,13
9/12/2015,20150912,2015#12#09,2015,9,12
9/12/2005,20050912,2005#12#09,2005,9,12
11/8/2006,20061108,2006#08#11,2006,11,8
5/24/1960,19600524,1960#24#05,1960,5,24
11/22/1991,19911122,1991#22#11,1991,11,22
6/2/2005,20050602,2005#02#06,2005,6,2
4/7/2006,20060407,2006#07#04,2006,4,7
9/6/2007,20070906,2007#06#09,2007,9,6
11/24/2009,20091124,2009#24#11,2009,11,24
8/24/2007,20070824,2007#24#08,2007,8,24
10/13/1995,19951013,1995#13#10,1995,10,13
1/17/2013,20130117,2013#17#01,2013,1,17
5/2/1997,19970502,1997#02#05,1997,5,2
11/22/1985,19851122,1985#22#11,1985,11,22
9/30/2011,20110930,2011#30#09,2011,9,30
4/17/1998,19980417,1998#17#04,1998,4,17
3/1/2013,20130301,2013#01#03,2013,3,1
2/14/2011,20110214,2011#14#02,2011,2,14
3/3/2010,20100303,2010#03#03,2010,3,3
12/10/2011,20111210,2011#10#12,2011,12,10
1/26/2012,20120126,2012#26#01,2012,1,26
12/26/2013,20131226,2013#26#12,2013,12,26
7/19/1978,19780719,1978#19#07,1978,7,19
12/24/2012,20121224,2012#24#12,2012,12,24
11/26/2008,20081126,2008#26#11,2008,11,26
2/22/2002,20020222,2002#22#02,2002,2,22
1/18/2002,20020118,2002#18#01,2002,1,18
3/24/1989,19890324,1989#24#03,1989,3,24
8/1/1986,19860801,1986#01#08,1986,8,1
6/17/2011,20110617,2011#17#06,2011,6,17
8/13/1999,19990813,1999#13#08,1999,8,13
9/28/2001,20010928,2001#28#09,2001,9,28
3/10/1978,19780310,1978#10#03,1978,3,10
8/11/2006,20060811,2006#11#08,2006,8,11
3/27/1985,19850327,1985#27#03,1985,3,27
9/15/2006,20060915,2006#15#09,2006,9,15
6/14/2007,20070614,2007#14#06,2007,6,14
4/4/2012,20120404,2012#04#04,2012,4,4
3/19/2014,20140319,2014#19#03,2014,3,19
5/21/2008,20080521,2008#21#05,2008,5,21
3/16/1984,19840316,1984#16#03,1984,3,16
12/21/2005,20051221,2005#21#12,2005,12,21
7/21/1989,19890721,1989#21#07,1989,7,21
7/16/2012,20120716,2012#16#07,2012,7,16
12/20/1985,19851220,1985#20#12,1985,12,20
9/12/2015,20150912,2015#12#09,2015,9,12
9/13/2012,20120913,2012#13#09,2012,9,13
9/5/2013,20130905,2013#05#09,2013,9,5
6/15/2016,20160615,2016#15#06,2016,6,15
7/4/2013,20130704,2013#04#07,2013,7,4
2/14/1997,19970214,1997#14#02,1997,2,14
8/12/2016,20160812,2016#12#08,2016,8,12
8/25/2012,20120825,2012#25#08,2012,8,25
4/9/1999,19990409,1999#09#04,1999,4,9
1/7/1994,19940107,1994#07#01,1994,1,7
4/17/2015,20150417,2015#17#04,2015,4,17
8/14/1987,19870814,1987#14#08,1987,8,14
11/13/1987,19871113,1987#13#11,1987,11,13
10/12/1989,19891012,1989#12#10,1989,10,12
4/7/1995,19950407,1995#07#04,1995,4,7
5/19/1991,19910519,1991#19#05,1991,5,19
11/15/2013,20131115,2013#15#11,2013,11,15
3/14/2014,20140314,2014#14#03,2014,3,14
2/26/1999,19990226,1999#26#02,1999,2,26
2/27/2013,20130227,2013#27#02,2013,2,27
7/5/2013,20130705,2013#05#07,2013,7,5
7/13/1981,19810713,1981#13#07,1981,7,13
3/14/2003,20030314,2003#14#03,2003,3,14
5/21/2015,20150521,2015#21#05,2015,5,21
10/8/1993,19931008,1993#08#10,1993,10,8
7/29/2011,20110729,2011#29#07,2011,7,29
2/8/2017,20170208,2017#08#02,2017,2,8
5/8/1987,19870508,1987#08#05,1987,5,8
7/3/2015,20150703,2015#03#07,2015,7,3
3/22/2013,20130322,2013#22#03,2013,3,22
10/20/2012,20121020,2012#20#10,2012,10,20
12/26/1931,19311226,1931#26#12,1931,12,26
4/28/2006,20060428,2006#28#04,2006,4,28
5/28/2014,20140528,2014#28#05,2014,5,28
4/10/2014,20140410,2014#10#04,2014,4,10
7/6/2001,20010706,2001#06#07,2001,7,6
6/6/2009,20090606,2009#06#06,2009,6,6
2/8/2008,20080208,2008#08#02,2008,2,8
12/8/2010,20101208,2010#08#12,2010,12,8
11/4/1994,19941104,1994#04#11,1994,11,4
5/21/1985,19850521,1985#21#05,1985,5,21
4/17/1986,19860417,1986#17#04,1986,4,17
8/21/1992,19920821,1992#21#08,1992,8,21
5/17/1996,19960517,1996#17#05,1996,5,17
7/26/1967,19670726,1967#26#07,1967,7,26
4/20/2012,20120420,2012#20#04,2012,4,20
11/26/2015,20151126,2015#26#11,2015,11,26
5/18/2012,20120518,2012#18#05,2012,5,18
6/12/2015,20150612,2015#12#06,2015,6,12
1/2/2004,20040102,2004#02#01,2004,1,2
7/29/2011,20110729,2011#29#07,2011,7,29
12/18/1987,19871218,1987#18#12,1987,12,18
9/10/2015,20150910,2015#10#09,2015,9,10
7/7/2009,20090707,2009#07#07,2009,7,7
4/7/1995,19950407,1995#07#04,1995,4,7
7/12/2011,20110712,2011#12#07,2011,7,12
9/8/1966,19660908,1966#08#09,1966,9,8
2/13/1997,19970213,1997#13#02,1997,2,13
4/23/2015,20150423,2015#23#04,2015,4,23
9/29/1994,19940929,1994#29#09,1994,9,29
6/11/2008,20080611,2008#11#06,2008,6,11
8/3/2010,20100803,2010#03#08,2010,8,3
5/23/2014,20140523,2014#23#05,2014,5,23
7/18/2013,20130718,2013#18#07,2013,7,18
4/4/1976,19760404,1976#04#04,1976,4,4
8/21/2014,20140821,2014#21#08,2014,8,21
7/9/1982,19820709,1982#09#07,1982,7,9
9/17/2010,20100917,2010#17#09,2010,9,17
11/2/2000,20001102,2000#02#11,2000,11,2
10/27/2011,20111027,2011#27#10,2011,10,27
10/18/1999,19991018,1999#18#10,1999,10,18
11/6/1987,19871106,1987#06#11,1987,11,6
7/23/1999,19990723,1999#23#07,1999,7,23
2/1/2000,20000201,2000#01#02,2000,2,1
3/3/2016,20160303,2016#03#03,2016,3,3
8/9/1990,19900809,1990#09#08,1990,8,9
1/23/2013,20130123,2013#23#01,2013,1,23
7/1/2011,20110701,2011#01#07,2011,7,1
10/27/1989,19891027,1989#27#10,1989,10,27
11/22/2012,20121122,2012#22#11,2012,11,22
12/23/1992,19921223,1992#23#12,1992,12,23
8/22/2003,20030822,2003#22#08,2003,8,22
9/5/2003,20030905,2003#05#09,2003,9,5
1/19/2014,20140119,2014#19#01,2014,1,19
9/6/1935,19350906,1935#06#09,1935,9,6
12/13/1984,19841213,1984#13#12,1984,12,13
3/8/1991,19910308,1991#08#03,1991,3,8
4/24/2004,20040424,2004#24#04,2004,4,24
7/29/2016,20160729,2016#29#07,2016,7,29
10/1/2004,20041001,2004#01#10,2004,10,1
5/3/2003,20030503,2003#03#05,2003,5,3
5/24/1973,19730524,1973#24#05,1973,5,24
4/19/1991,19910419,1991#19#04,1991,4,19
5/22/2014,20140522,2014#22#05,2014,5,22
5/20/1995,19950520,1995#20#05,1995,5,20
9/2/2004,20040902,2004#02#09,2004,9,2
9/19/2013,20130919,2013#19#09,2013,9,19
11/4/1999,19991104,1999#04#11,1999,11,4
2/25/2006,20060225,2006#25#02,2006,2,25
2/5/2011,20110205,2011#05#02,2011,2,5
8/1/1986,19860801,1986#01#08,1986,8,1
12/25/1993,19931225,1993#25#12,1993,12,25
7/17/2015,20150717,2015#17#07,2015,7,17
6/28/1985,19850628,1985#28#06,1985,6,28
9/28/2012,20120928,2012#28#09,2012,9,28
9/17/1993,19930917,1993#17#09,1993,9,17
10/14/2011,20111014,2011#14#10,2011,10,14
10/31/2013,20131031,2013#31#10,2013,10,31
6/16/2006,20060616,2006#16#06,2006,6,16
8/13/2009,20090813,2009#13#08,2009,8,13
9/26/2012,20120926,2012#26#09,2012,9,26
10/14/2016,20161014,2016#14#10,2016,10,14
2/1/1995,19950201,1995#01#02,1995,2,1
9/27/1999,19990927,1999#27#09,1999,9,27
7/13/2012,20120713,2012#13#07,2012,7,13
5/13/1983,19830513,1983#13#05,1983,5,13
8/17/1979,19790817,1979#17#08,1979,8,17
11/6/2013,20131106,2013#06#11,2013,11,6
11/25/2009,20091125,2009#25#11,2009,11,25
11/11/1983,19831111,1983#11#11,1983,11,11
9/25/1997,19970925,1997#25#09,1997,9,25
5/12/1995,19950512,1995#12#05,1995,5,12
6/29/2012,20120629,2012#29#06,2012,6,29
6/25/2008,20080625,2008#25#06,2008,6,25
3/19/2004,20040319,2004#19#03,2004,3,19
4/25/1997,19970425,1997#25#04,1997,4,25
4/2/1968,19680402,1968#02#04,1968,4,2
8/22/2014,20140822,2014#22#08,2014,8,22
1/9/1966,19660109,1966#09#01,1966,1,9
12/3/2006,20061203,2006#03#12,2006,12,3
6/1/2016,20160601,2016#01#06,2016,6,1
9/11/2012,20120911,2012#11#09,2012,9,11
12/21/2011,20111221,2011#21#12,2011,12,21
3/4/2005,20050304,2005#04#03,2005,3,4
11/19/2004,20041119,2004#19#11,2004,11,19
5/6/1988,19880506,1988#06#05,1988,5,6
6/6/2008,20080606,2008#06#06,2008,6,6
9/11/1987,19870911,1987#11#09,1987,9,11
11/3/1989,19891103,1989#03#11,1989,11,3
4/28/2006,20060428,2006#28#04,2006,4,28
5/25/2006,20060525,2006#25#05,2006,5,25
12/20/2012,20121220,2012#20#12,2012,12,20
8/6/1999,19990806,1999#06#08,1999,8,6
10/19/1990,19901019,1990#19#10,1990,10,19
11/7/1997,19971107,1997#07#11,1997,11,7
6/4/2004,20040604,2004#04#06,2004,6,4
6/5/2009,20090605,2009#05#06,2009,6,5
5/3/2012,20120503,2012#03#05,2012,5,3
12/10/2008,20081210,2008#10#12,2008,12,10
6/17/2011,20110617,2011#17#06,2011,6,17
10/1/1988,19881001,1988#01#10,1988,10,1
6/29/1987,19870629,1987#29#06,1987,6,29
10/21/1987,19871021,1987#21#10,1987,10,21
2/8/1985,19850208,1985#08#02,1985,2,8
6/16/2000,20000616,2000#16#06,2000,6,16
12/7/2005,20051207,2005#07#12,2005,12,7
5/16/2009,20090516,2009#16#05,2009,5,16
6/7/2007,20070607,2007#07#06,2007,6,7
11/9/2004,20041109,2004#09#11,2004,11,9
12/3/1976,19761203,1976#03#12,1976,12,3
2/6/1987,19870206,1987#06#02,1987,2,6
1/16/1998,19980116,1998#16#01,1998,1,16
9/1/2007,20070901,2007#01#09,2007,9,1
7/12/2001,20010712,2001#12#07,2001,7,12
10/27/2000,20001027,2000#27#10,2000,10,27
9/10/2010,20100910,2010#10#09,2010,9,10
4/23/2004,20040423,2004#23#04,2004,4,23
1/9/2009,20090109,2009#09#01,2009,1,9
1/18/2013,20130118,2013#18#01,2013,1,18
8/8/1980,19800808,1980#08#08,1980,8,8
9/10/2011,20110910,2011#10#09,2011,9,10
5/21/2014,20140521,2014#21#05,2014,5,21
12/21/2001,20011221,2001#21#12,2001,12,21
3/6/1987,19870306,1987#06#03,1987,3,6
5/14/2014,20140514,2014#14#05,2014,5,14
2/8/2002,20020208,2002#08#02,2002,2,8
10/22/2006,20061022,2006#22#10,2006,10,22
8/13/1983,19830813,1983#13#08,1983,8,13
7/22/1988,19880722,1988#22#07,1988,7,22
9/22/2006,20060922,2006#22#09,2006,9,22
10/20/1995,19951020,1995#20#10,1995,10,20
5/29/2015,20150529,2015#29#05,2015,5,29
1/21/2015,20150121,2015#21#01,2015,1,21
2/28/2014,20140228,2014#28#02,2014,2,28
10/20/2010,20101020,2010#20#10,2010,10,20
3/14/1972,19720314,1972#14#03,1972,3,14
12/8/2006,20061208,2006#08#12,2006,12,8
11/16/1995,19951116,1995#16#11,1995,11,16
1/24/2000,20000124,2000#24#01,2000,1,24
4/2/2015,20150402,2015#02#04,2015,4,2
1/21/2016,20160121,2016#21#01,2016,1,21
1/27/1989,19890127,1989#27#01,1989,1,27
12/20/1991,19911220,1991#20#12,1991,12,20
10/1/1987,19871001,1987#01#10,1987,10,1
10/29/1999,19991029,1999#29#10,1999,10,29
12/30/2002,20021230,2002#30#12,2002,12,30
2/4/2016,20160204,2016#04#02,2016,2,4
2/27/2003,20030227,2003#27#02,2003,2,27
7/1/1987,19870701,1987#01#07,1987,7,1
5/7/2013,20130507,2013#07#05,2013,5,7
12/12/2014,20141212,2014#12#12,2014,12,12
11/8/1988,19881108,1988#08#11,1988,11,8
9/16/1994,19940916,1994#16#09,1994,9,16
7/28/1982,19820728,1982#28#07,1982,7,28
5/3/2017,20170503,2017#03#05,2017,5,3
9/15/2009,20090915,2009#15#09,2009,9,15
9/2/2011,20110902,2011#02#09,2011,9,2
7/7/1977,19770707,1977#07#07,1977,7,7
5/15/1998,19980515,1998#15#05,1998,5,15
